Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Lewis Ferguson,Bologna,MF,24.0,983,1,1,1.0,1.1,24,5,9,86.5,53,20,26,1,5,14,748,31.5,71.5,141.95,156.8,MF,3
Zinedine Ferhat,Angers,"FW,MF",31.0,849,2,0,1.4,2.4,9,10,12,67.2,40,16,64,5,12,17,550,44.3,56.0,119.42,207.0,MF,3
Bruno Fernandes,Manchester Utd,MF,29.0,3018,8,10,9.9,8.5,84,26,35,76.1,325,77,129,26,93,91,2649,252.8,272.5,849.61,638.4000000000001,MF,5
Edimilson Fernandes,Brest,"MF,DF",28.0,1105,0,1,0.4,0.6,9,20,38,85.0,40,7,3,2,10,8,684,20.8,115.0,105.3,84.9,DF,3
Mateus Fernandes,Southampton,MF,20.0,2909,2,4,4.0,3.0,89,28,35,79.9,145,76,108,14,42,34,1760,153.0,286.5,369.99,506.0,MF,5
Aitor Fernández,Osasuna,GK,33.0,90,0,0,0.0,0.0,0,0,2,64.4,0,0,0,0,0,0,50,0.0,3.0,6.440000000000001,5.0,GK,0
Álvaro Fernández,Sevilla,GK,26.0,747,0,0,0.0,0.1,0,0,7,65.4,0,0,0,0,0,1,349,0.0,10.5,8.34,34.9,GK,0
Enzo Fernández,Chelsea,MF,23.0,2947,6,7,6.1,6.8,65,13,23,79.9,212,60,126,20,53,77,2210,173.2,190.5,588.89,563.0,MF,5
Pelayo Fernandez,Rayo Vallecano,DF,21.0,98,0,0,0.0,0.0,0,2,9,85.7,1,0,0,0,0,0,39,0.0,17.5,10.57,3.9,DF,0
Roberto Férnandez,Espanyol,FW,22.0,1497,6,0,3.6,0.6,4,3,26,72.2,17,7,50,9,21,8,436,66.7,53.0,55.02,154.1,FW,0
Valery Fernández,Mallorca,"MF,FW",24.0,309,2,0,0.8,0.0,8,0,1,88.9,5,2,14,3,3,1,133,17.1,17.5,20.39,44.3,MF,0
Matias Fernandez-Pardo,Lille,"FW,MF",19.0,1065,4,2,2.9,2.8,12,3,6,73.0,26,46,85,12,23,16,429,104.8,39.0,97.7,281.9,MF,4
André Ferreira,Valladolid,GK,28.0,540,0,0,0.0,0.0,0,0,4,70.8,0,0,0,0,0,0,216,0.0,6.0,7.08,21.6,GK,0
Jordan Ferri,Montpellier,MF,32.0,1773,0,2,0.4,0.9,42,9,20,88.3,137,19,42,3,14,13,1433,38.3,132.0,311.03,255.8,MF,3
Daniel Fila,Venezia,FW,21.0,492,2,0,1.4,0.3,2,0,5,77.8,8,5,30,5,8,6,147,29.3,11.5,33.68,82.2,FW,0
Kilian Fischer,Wolfsburg,DF,23.0,2297,1,0,0.3,0.5,64,19,98,78.6,110,51,89,1,6,12,1529,62.1,313.0,247.36,407.4,DF,1
Mark Flekken,Brentford,GK,31.0,3275,0,2,0.0,0.5,4,0,26,73.0,0,0,0,0,0,3,1824,0.0,47.0,19.3,182.4,GK,0
Mateo Flores,Betis,MF,20.0,153,0,0,0.0,0.0,3,2,3,81.2,9,0,2,0,0,0,84,0.0,14.5,26.12,12.4,MF,0
Phil Foden,Manchester City,"MF,FW",24.0,1777,7,2,5.2,4.8,13,9,7,84.1,103,50,128,16,54,43,1139,159.4,54.5,299.31,444.9,MF,4
Malick Fofana,Lyon,FW,19.0,1589,5,4,3.8,3.7,22,8,6,77.4,45,112,205,15,31,25,828,188.1,69.0,158.34,660.8,FW,2
